,Date,Time,Open,High,Low,Close,todrop
0,2010-01-03,17:00:00,1.4301,1.4304,1.4301,1.4304,0.0
1,2010-01-04,17:00:00,1.4412,1.4412,1.4409,1.441,0.0
2,2010-01-05,17:00:00,1.4366,1.4366,1.4364,1.4365,0.0
3,2010-01-06,17:00:00,1.4408,1.441,1.4408,1.441,0.0
4,2010-01-07,17:00:00,1.4307,1.4311,1.4307,1.431,0.0
5,2010-01-08,17:00:00,1.4409,1.4409,1.4409,1.4409,0.0
6,2010-01-09,17:00:00,1.4409,1.4409,1.4409,1.4409,0.0
7,2010-01-10,17:00:00,1.4428,1.4428,1.4428,1.4428,0.0
8,2010-01-11,17:00:00,1.4512,1.4514,1.4512,1.4514,0.0
9,2010-01-12,17:00:00,1.4484,1.4489,1.4483,1.4489,0.0
10,2010-01-13,17:00:00,1.4509,1.4511,1.4509,1.451,0.0
11,2010-01-14,17:00:00,1.45,1.45,1.4498,1.4499,0.0
12,2010-01-15,17:00:00,1.4384,1.4386,1.4383,1.4386,0.0
13,2010-01-16,17:00:00,1.4384,1.4386,1.4383,1.4386,0.0
14,2010-01-17,17:00:00,1.4353,1.4355,1.4353,1.4355,0.0
15,2010-01-18,17:00:00,1.4384,1.4384,1.4382,1.4382,0.0
16,2010-01-19,17:00:00,1.4287,1.4287,1.4287,1.4287,0.0
17,2010-01-20,17:00:00,1.4105,1.4106,1.4104,1.4105,0.0
18,2010-01-21,17:00:00,1.4084,1.4086,1.4084,1.4086,0.0
19,2010-01-22,17:00:00,1.4139,1.4139,1.4138,1.4138,0.0
20,2010-01-23,17:00:00,1.4139,1.4139,1.4138,1.4138,0.0
21,2010-01-24,17:00:00,1.4156,1.4156,1.4156,1.4156,0.0
22,2010-01-25,17:00:00,1.415,1.4151,1.415,1.4151,0.0
23,2010-01-26,17:00:00,1.4072,1.4073,1.4071,1.4072,0.0
24,2010-01-27,17:00:00,1.4023,1.4027,1.4022,1.4023,0.0
25,2010-01-28,17:00:00,1.397,1.3972,1.397,1.3971,0.0
26,2010-01-29,17:00:00,1.3862,1.3863,1.3862,1.3862,0.0
27,2010-01-30,17:00:00,1.3862,1.3863,1.3862,1.3862,0.0
28,2010-01-31,17:00:00,1.3862,1.3863,1.3862,1.3862,0.0
29,2010-02-01,17:00:00,1.3932,1.3934,1.393,1.3931,0.0
30,2010-02-02,17:00:00,1.3965,1.3966,1.3963,1.3965,0.0
31,2010-02-03,17:00:00,1.3894,1.3894,1.3892,1.3893,0.0
32,2010-02-04,17:00:00,1.3722,1.3724,1.3722,1.3724,0.0
33,2010-02-05,17:00:00,1.3677,1.3679,1.3677,1.3678,0.0
34,2010-02-06,17:00:00,1.3677,1.3679,1.3677,1.3678,0.0
35,2010-02-07,17:00:00,1.3658,1.3658,1.3658,1.3658,0.0
36,2010-02-08,17:00:00,1.3649,1.3649,1.3647,1.3647,0.0
37,2010-02-09,17:00:00,1.3796,1.3797,1.3794,1.3794,0.0
38,2010-02-10,17:00:00,1.3736,1.3736,1.3735,1.3736,0.0
39,2010-02-11,17:00:00,1.3692,1.3692,1.3691,1.3692,0.0
40,2010-02-12,17:00:00,1.3629,1.3633,1.3629,1.3631,0.0
41,2010-02-13,17:00:00,1.3629,1.3633,1.3629,1.3631,0.0
42,2010-02-14,17:00:00,1.3625,1.3625,1.3625,1.3625,0.0
43,2010-02-15,17:00:00,1.3598,1.3598,1.3597,1.3598,0.0
44,2010-02-16,17:00:00,1.377,1.377,1.3768,1.3769,0.0
45,2010-02-17,17:00:00,1.3604,1.3605,1.36,1.3602,0.0
46,2010-02-18,17:00:00,1.3525,1.3528,1.352,1.3526,0.0
47,2010-02-19,17:00:00,1.3613,1.3613,1.3613,1.3613,0.0
48,2010-02-20,17:00:00,1.3613,1.3613,1.3613,1.3613,0.0
49,2010-02-21,17:00:00,1.3636,1.3639,1.3634,1.3634,0.0
50,2010-02-22,17:00:00,1.3595,1.3596,1.3594,1.3595,0.0
51,2010-02-23,17:00:00,1.3505,1.3506,1.3505,1.3506,0.0
52,2010-02-24,17:00:00,1.3539,1.354,1.3537,1.354,0.0
53,2010-02-25,17:00:00,1.3546,1.3547,1.3546,1.3547,0.0
54,2010-02-26,17:00:00,1.363,1.363,1.363,1.363,0.0
55,2010-02-27,17:00:00,1.363,1.363,1.363,1.363,0.0
56,2010-02-28,17:00:00,1.3623,1.3625,1.3623,1.3623,0.0
57,2010-03-01,17:00:00,1.356,1.3561,1.3559,1.356,0.0
58,2010-03-02,17:00:00,1.3613,1.3613,1.3612,1.3612,0.0
59,2010-03-03,17:00:00,1.3694,1.3696,1.3694,1.3695,0.0
60,2010-03-04,17:00:00,1.3582,1.3583,1.358,1.3581,0.0
61,2010-03-05,17:00:00,1.3623,1.3624,1.362,1.362,0.0
62,2010-03-06,17:00:00,1.3623,1.3624,1.362,1.362,0.0
63,2010-03-07,17:00:00,1.363,1.3633,1.363,1.3631,0.0
64,2010-03-08,17:00:00,1.3633,1.3633,1.3631,1.3631,0.0
65,2010-03-09,17:00:00,1.3599,1.3599,1.3599,1.3599,0.0
66,2010-03-10,17:00:00,1.3654,1.3655,1.3653,1.3653,0.0
67,2010-03-11,17:00:00,1.3679,1.3679,1.3678,1.3678,0.0
68,2010-03-12,17:00:00,1.3767,1.3767,1.3766,1.3767,0.0
69,2010-03-13,17:00:00,1.3767,1.3767,1.3766,1.3767,0.0
70,2010-03-14,17:00:00,1.3776,1.3776,1.3776,1.3776,0.0
71,2010-03-15,17:00:00,1.3675,1.3676,1.3674,1.3674,0.0
72,2010-03-16,17:00:00,1.3765,1.3765,1.3761,1.3764,0.0
73,2010-03-17,17:00:00,1.3737,1.3737,1.3735,1.3735,0.0
74,2010-03-18,17:00:00,1.3608,1.361,1.3608,1.3609,0.0
75,2010-03-19,17:00:00,1.3531,1.3532,1.3527,1.3528,0.0
76,2010-03-20,17:00:00,1.3531,1.3532,1.3527,1.3528,0.0
77,2010-03-21,17:00:00,1.3536,1.3537,1.3536,1.3537,0.0
78,2010-03-22,17:00:00,1.3556,1.3558,1.3554,1.3556,0.0
79,2010-03-23,17:00:00,1.3498,1.3498,1.3497,1.3498,0.0
80,2010-03-24,17:00:00,1.3313,1.3314,1.3309,1.3311,0.0
81,2010-03-25,17:00:00,1.3273,1.3273,1.3273,1.3273,0.0
82,2010-03-26,17:00:00,1.3409,1.3409,1.3408,1.3408,0.0
83,2010-03-27,17:00:00,1.3409,1.3409,1.3408,1.3408,0.0
84,2010-03-28,17:00:00,1.347,1.3472,1.347,1.3472,0.0
85,2010-03-29,17:00:00,1.348,1.3481,1.348,1.348,0.0
86,2010-03-30,17:00:00,1.3411,1.3412,1.3411,1.3411,0.0
87,2010-03-31,17:00:00,1.351,1.351,1.3508,1.351,0.0
88,2010-04-01,17:00:00,1.3586,1.3586,1.3582,1.3583,0.0
89,2010-04-02,17:00:00,1.3503,1.3503,1.3503,1.3503,0.0
90,2010-04-03,17:00:00,1.3503,1.3503,1.3503,1.3503,0.0
91,2010-04-04,17:00:00,1.3496,1.3496,1.3496,1.3496,0.0
92,2010-04-05,17:00:00,1.3482,1.3482,1.3481,1.3481,0.0
93,2010-04-06,17:00:00,1.3399,1.3399,1.3398,1.3398,0.0
94,2010-04-07,17:00:00,1.3343,1.3343,1.3342,1.3342,0.0
95,2010-04-08,17:00:00,1.3359,1.3359,1.3359,1.3359,0.0
96,2010-04-09,17:00:00,1.3497,1.3498,1.3496,1.3497,0.0
