,Date,Time,Open,High,Low,Close,todrop
0,2010-01-03,17:00:00,1.4301,1.4304,1.4301,1.4304,0.0
1,2010-01-10,17:00:00,1.4428,1.4428,1.4428,1.4428,0.0
2,2010-01-17,17:00:00,1.4353,1.4355,1.4353,1.4355,0.0
3,2010-01-24,17:00:00,1.4156,1.4156,1.4156,1.4156,0.0
4,2010-01-31,17:00:00,1.3862,1.3863,1.3862,1.3862,0.0
5,2010-02-07,17:00:00,1.3658,1.3658,1.3658,1.3658,0.0
6,2010-02-14,17:00:00,1.3625,1.3625,1.3625,1.3625,0.0
7,2010-02-21,17:00:00,1.3636,1.3639,1.3634,1.3634,0.0
8,2010-02-28,17:00:00,1.3623,1.3625,1.3623,1.3623,0.0
9,2010-03-07,17:00:00,1.363,1.3633,1.363,1.3631,0.0
10,2010-03-14,17:00:00,1.3776,1.3776,1.3776,1.3776,0.0
11,2010-03-21,17:00:00,1.3536,1.3537,1.3536,1.3537,0.0
12,2010-03-28,17:00:00,1.347,1.3472,1.347,1.3472,0.0
13,2010-04-04,17:00:00,1.3496,1.3496,1.3496,1.3496,0.0
14,2010-04-11,17:00:00,1.366,1.3661,1.3656,1.3659,0.0
15,2010-04-18,17:00:00,1.35,1.3502,1.3499,1.35,0.0
16,2010-04-25,17:00:00,1.3347,1.3348,1.3346,1.3347,0.0
17,2010-05-02,17:00:00,1.3358,1.3358,1.3355,1.3355,0.0
18,2010-05-09,17:00:00,1.2918,1.292,1.2916,1.2918,0.0
19,2010-05-16,17:00:00,1.2341,1.2341,1.2341,1.2341,0.0
20,2010-05-23,17:00:00,1.2537,1.2537,1.2536,1.2537,0.0
21,2010-05-30,17:00:00,1.2265,1.2266,1.2265,1.2265,0.0
22,2010-06-06,17:00:00,1.1928,1.1928,1.1928,1.1928,0.0
23,2010-06-13,17:00:00,1.2128,1.2128,1.2128,1.2128,0.0
24,2010-06-20,17:00:00,1.2451,1.2453,1.245,1.2452,0.0
25,2010-06-27,17:00:00,1.2373,1.2373,1.2373,1.2373,0.0
26,2010-07-04,17:00:00,1.2561,1.2562,1.2561,1.2562,0.0
27,2010-07-11,17:00:00,1.2636,1.2636,1.2636,1.2636,0.0
28,2010-07-18,17:00:00,1.2905,1.2905,1.2905,1.2905,0.0
29,2010-07-25,17:00:00,1.289,1.289,1.289,1.289,0.0
30,2010-08-01,17:00:00,1.3062,1.3062,1.3062,1.3062,0.0
31,2010-08-08,17:00:00,1.3294,1.3294,1.3293,1.3293,0.0
32,2010-08-15,17:00:00,1.2765,1.2765,1.2765,1.2765,0.0
33,2010-08-22,17:00:00,1.2704,1.2704,1.2701,1.2701,0.0
34,2010-08-29,17:00:00,1.276,1.276,1.276,1.276,0.0
35,2010-09-05,17:00:00,1.289,1.289,1.289,1.289,0.0
36,2010-09-12,17:00:00,1.2714,1.2714,1.2714,1.2714,0.0
37,2010-09-19,17:00:00,1.3063,1.3063,1.3061,1.3063,0.0
38,2010-09-26,17:00:00,1.3486,1.3486,1.3485,1.3485,0.0
39,2010-10-03,17:00:00,1.3801,1.3803,1.3799,1.38,0.0
40,2010-10-10,17:00:00,1.3994,1.3996,1.3994,1.3994,0.0
41,2010-10-17,17:00:00,1.399,1.399,1.3988,1.399,0.0
42,2010-10-24,17:00:00,1.3973,1.3973,1.3972,1.3972,0.0
43,2010-10-31,17:00:00,1.3961,1.3961,1.3961,1.3961,0.0
44,2010-11-07,17:00:00,1.4057,1.4058,1.4055,1.4056,0.0
45,2010-11-14,17:00:00,1.3706,1.3707,1.3706,1.3706,0.0
46,2010-11-21,17:00:00,1.3719,1.3719,1.3718,1.3718,0.0
47,2010-11-28,17:00:00,1.3283,1.3283,1.3277,1.328,0.0
48,2010-12-05,17:00:00,1.3376,1.3377,1.3375,1.3377,0.0
49,2010-12-12,17:00:00,1.3198,1.3198,1.3196,1.3197,0.0
50,2010-12-19,17:00:00,1.3186,1.3186,1.3185,1.3185,0.0
51,2010-12-26,17:00:00,1.3114,1.3114,1.3112,1.3113,0.0
52,2011-01-02,17:00:00,1.3345,1.3345,1.3345,1.3345,0.0
53,2011-01-09,17:00:00,1.2876,1.2878,1.2876,1.2877,0.0
54,2011-01-16,17:00:00,1.3384,1.3384,1.3384,1.3384,0.0
55,2011-01-23,17:00:00,1.364,1.3641,1.3638,1.3639,0.0
56,2011-01-30,17:00:00,1.3587,1.3589,1.3587,1.3588,0.0
57,2011-02-06,17:00:00,1.3562,1.3564,1.3562,1.3564,0.0
58,2011-02-13,17:00:00,1.3506,1.3511,1.3506,1.3511,0.0
59,2011-02-20,17:00:00,1.37,1.37,1.3699,1.3699,0.0
60,2011-02-27,17:00:00,1.3758,1.3758,1.3755,1.3757,0.0
