,Date,Time,Open,High,Low,Close,todrop
0,2010-01-03,17:00:00,1.6109,1.6109,1.6105,1.6105,0.0
1,2010-01-04,17:00:00,1.6082,1.6085,1.6081,1.6084,0.0
2,2010-01-05,17:00:00,1.599,1.599,1.599,1.599,0.0
3,2010-01-06,17:00:00,1.6017,1.6017,1.6015,1.6015,0.0
4,2010-01-07,17:00:00,1.5929,1.593,1.5926,1.5929,0.0
5,2010-01-08,17:00:00,1.602,1.602,1.602,1.602,0.0
6,2010-01-09,17:00:00,1.602,1.602,1.602,1.602,0.0
7,2010-01-10,17:00:00,1.6066,1.6066,1.6066,1.6066,0.0
8,2010-01-11,17:00:00,1.6113,1.6113,1.6113,1.6113,0.0
9,2010-01-12,17:00:00,1.6162,1.6162,1.6147,1.6157,0.0
10,2010-01-13,17:00:00,1.6278,1.6278,1.6277,1.6277,0.0
11,2010-01-14,17:00:00,1.6333,1.6334,1.6332,1.6332,0.0
12,2010-01-15,17:00:00,1.6262,1.6262,1.6262,1.6262,0.0
13,2010-01-16,17:00:00,1.6262,1.6262,1.6262,1.6262,0.0
14,2010-01-17,17:00:00,1.6261,1.6261,1.6261,1.6261,0.0
15,2010-01-18,17:00:00,1.6339,1.6346,1.6339,1.6342,0.0
16,2010-01-19,17:00:00,1.6359,1.6359,1.6359,1.6359,0.0
17,2010-01-20,17:00:00,1.6289,1.6296,1.6289,1.629,0.0
18,2010-01-21,17:00:00,1.6194,1.6195,1.6193,1.6194,0.0
19,2010-01-22,17:00:00,1.6111,1.6111,1.611,1.6111,0.0
20,2010-01-23,17:00:00,1.6111,1.6111,1.611,1.6111,0.0
21,2010-01-24,17:00:00,1.6111,1.6111,1.611,1.6111,0.0
22,2010-01-25,17:00:00,1.6243,1.6243,1.6242,1.6242,0.0
23,2010-01-26,17:00:00,1.6141,1.6141,1.6141,1.6141,0.0
24,2010-01-27,17:00:00,1.6168,1.6168,1.6168,1.6168,0.0
25,2010-01-28,17:00:00,1.6135,1.6135,1.6134,1.6135,0.0
26,2010-01-29,17:00:00,1.5983,1.5983,1.5983,1.5983,0.0
27,2010-01-30,17:00:00,1.5983,1.5983,1.5983,1.5983,0.0
28,2010-01-31,17:00:00,1.5983,1.5983,1.5983,1.5983,0.0
29,2010-02-01,17:00:00,1.5955,1.5955,1.5954,1.5954,0.0
30,2010-02-02,17:00:00,1.5973,1.5973,1.5969,1.5972,0.0
31,2010-02-03,17:00:00,1.5891,1.5892,1.5887,1.5892,0.0
32,2010-02-04,17:00:00,1.5752,1.5752,1.5751,1.5751,0.0
33,2010-02-05,17:00:00,1.564,1.564,1.5639,1.5639,0.0
34,2010-02-06,17:00:00,1.564,1.564,1.5639,1.5639,0.0
35,2010-02-07,17:00:00,1.5584,1.5585,1.5584,1.5585,0.0
36,2010-02-08,17:00:00,1.5582,1.5584,1.5582,1.5584,0.0
37,2010-02-09,17:00:00,1.5717,1.5717,1.5717,1.5717,0.0
38,2010-02-10,17:00:00,1.5594,1.5594,1.5592,1.5593,0.0
39,2010-02-11,17:00:00,1.5702,1.5703,1.5702,1.5703,0.0
40,2010-02-12,17:00:00,1.5701,1.5701,1.5695,1.5697,0.0
