,Date,Time,Open,High,Low,Close,todrop
0,2010-01-03,17:00:00,1.6109,1.6109,1.6105,1.6105,0.0
1,2010-01-10,17:00:00,1.6066,1.6066,1.6066,1.6066,0.0
2,2010-01-17,17:00:00,1.6261,1.6261,1.6261,1.6261,0.0
3,2010-01-24,17:00:00,1.6111,1.6111,1.611,1.6111,0.0
4,2010-01-31,17:00:00,1.5983,1.5983,1.5983,1.5983,0.0
5,2010-02-07,17:00:00,1.5584,1.5585,1.5584,1.5585,0.0
6,2010-02-14,17:00:00,1.5679,1.5679,1.5677,1.5677,0.0
7,2010-02-21,17:00:00,1.5472,1.5472,1.5469,1.547,0.0
8,2010-02-28,17:00:00,1.5154,1.5155,1.5152,1.5154,0.0
9,2010-03-07,17:00:00,1.5133,1.5137,1.5131,1.5136,0.0
10,2010-03-14,17:00:00,1.5175,1.5175,1.5175,1.5175,0.0
11,2010-03-21,17:00:00,1.5024,1.5024,1.5024,1.5024,0.0
12,2010-03-28,17:00:00,1.4895,1.4895,1.4895,1.4895,0.0
13,2010-04-04,17:00:00,1.5282,1.5285,1.5281,1.5285,0.0
14,2010-04-11,17:00:00,1.5459,1.5459,1.5459,1.5459,0.0
15,2010-04-18,17:00:00,1.5274,1.5275,1.5268,1.5268,0.0
16,2010-04-25,17:00:00,1.5386,1.5386,1.5385,1.5386,0.0
17,2010-05-02,17:00:00,1.5331,1.5331,1.5327,1.5327,0.0
18,2010-05-09,17:00:00,1.4879,1.4882,1.4879,1.4882,0.0
19,2010-05-16,17:00:00,1.451,1.451,1.451,1.451,0.0
20,2010-05-23,17:00:00,1.4456,1.4457,1.4456,1.4457,0.0
21,2010-05-30,17:00:00,1.4417,1.4417,1.4403,1.4407,0.0
22,2010-06-06,17:00:00,1.4409,1.4409,1.4409,1.4409,0.0
23,2010-06-13,17:00:00,1.4549,1.4551,1.4545,1.4548,0.0
24,2010-06-20,17:00:00,1.4822,1.4822,1.4822,1.4822,0.0
25,2010-06-27,17:00:00,1.5058,1.5058,1.5058,1.5058,0.0
26,2010-07-04,17:00:00,1.52,1.52,1.5199,1.5199,0.0
27,2010-07-11,17:00:00,1.5075,1.5075,1.5075,1.5075,0.0
28,2010-07-18,17:00:00,1.5273,1.5273,1.5273,1.5273,0.0
29,2010-07-25,17:00:00,1.5415,1.5415,1.5415,1.5415,0.0
30,2010-08-01,17:00:00,1.5709,1.5709,1.5709,1.5709,0.0
31,2010-08-08,17:00:00,1.5963,1.5963,1.5963,1.5963,0.0
32,2010-08-15,17:00:00,1.5606,1.5606,1.5606,1.5606,0.0
33,2010-08-22,17:00:00,1.553,1.553,1.553,1.553,0.0
34,2010-08-29,17:00:00,1.5526,1.5527,1.5525,1.5526,0.0
35,2010-09-05,17:00:00,1.5445,1.5449,1.5445,1.5449,0.0
36,2010-09-12,17:00:00,1.5354,1.5354,1.5354,1.5354,0.0
37,2010-09-19,17:00:00,1.5654,1.5654,1.5654,1.5654,0.0
38,2010-09-26,17:00:00,1.5817,1.5822,1.5816,1.5822,0.0
39,2010-10-03,17:00:00,1.5798,1.58,1.5797,1.58,0.0
40,2010-10-10,17:00:00,1.5962,1.5962,1.5961,1.5961,0.0
41,2010-10-17,17:00:00,1.5976,1.5976,1.5976,1.5976,0.0
42,2010-10-24,17:00:00,1.5678,1.5678,1.5678,1.5678,0.0
43,2010-10-31,17:00:00,1.6044,1.6047,1.6044,1.6047,0.0
44,2010-11-07,17:00:00,1.6192,1.6192,1.6187,1.6187,0.0
45,2010-11-14,17:00:00,1.6148,1.6148,1.6143,1.6144,0.0
46,2010-11-21,17:00:00,1.5979,1.5979,1.5978,1.5979,0.0
47,2010-11-28,17:00:00,1.5594,1.5594,1.5589,1.5591,0.0
48,2010-12-05,17:00:00,1.5758,1.5759,1.5757,1.5759,0.0
49,2010-12-12,17:00:00,1.5798,1.5798,1.5798,1.5798,0.0
50,2010-12-19,17:00:00,1.5515,1.5515,1.5515,1.5515,0.0
51,2010-12-26,17:00:00,1.544,1.544,1.544,1.544,0.0
52,2011-01-02,17:00:00,1.5565,1.5565,1.5565,1.5565,0.0
53,2011-01-09,17:00:00,1.5522,1.5523,1.5522,1.5523,0.0
54,2011-01-16,17:00:00,1.5864,1.5864,1.5864,1.5864,0.0
55,2011-01-23,17:00:00,1.6002,1.6003,1.6002,1.6003,0.0
56,2011-01-30,17:00:00,1.5846,1.5846,1.5845,1.5846,0.0
57,2011-02-06,17:00:00,1.6097,1.6099,1.6097,1.6098,0.0
58,2011-02-13,17:00:00,1.5985,1.5988,1.5985,1.5988,0.0
59,2011-02-20,17:00:00,1.6258,1.6258,1.6258,1.6258,0.0
60,2011-02-27,17:00:00,1.6111,1.6111,1.6109,1.6109,0.0
61,2011-03-06,17:00:00,1.6276,1.6276,1.6272,1.6272,0.0
62,2011-03-13,17:00:00,1.6088,1.609,1.6086,1.609,0.0
63,2011-03-20,17:00:00,1.6233,1.6233,1.6233,1.6233,0.0
64,2011-03-27,17:00:00,1.6004,1.6004,1.6004,1.6004,0.0
65,2011-04-03,17:00:00,1.6108,1.6108,1.6107,1.6107,0.0
66,2011-04-10,17:00:00,1.6373,1.6373,1.6373,1.6373,0.0
67,2011-04-17,17:00:00,1.6307,1.6307,1.6307,1.6307,0.0
68,2011-04-24,17:00:00,1.6529,1.6531,1.6528,1.6531,0.0
69,2011-05-01,17:00:00,1.6712,1.6712,1.6712,1.6712,0.0
70,2011-05-08,17:00:00,1.6356,1.6363,1.6356,1.6363,0.0
71,2011-05-15,17:00:00,1.621,1.6211,1.621,1.6211,0.0
72,2011-05-22,17:00:00,1.6223,1.6224,1.6223,1.6223,0.0
73,2011-05-29,17:00:00,1.65,1.65,1.6499,1.6499,0.0
74,2011-06-05,17:00:00,1.6409,1.6413,1.6409,1.6413,0.0
75,2011-06-12,17:00:00,1.6231,1.6231,1.6231,1.6231,0.0
76,2011-06-19,17:00:00,1.6161,1.6162,1.6161,1.6162,0.0
77,2011-06-26,17:00:00,1.5956,1.5957,1.5955,1.5957,0.0
78,2011-07-03,17:00:00,1.6061,1.6061,1.606,1.606,0.0
79,2011-07-10,17:00:00,1.6016,1.6016,1.6013,1.6014,0.0
80,2011-07-17,17:00:00,1.6109,1.6109,1.6109,1.6109,0.0
81,2011-07-24,17:00:00,1.6333,1.6335,1.6333,1.6335,0.0
82,2011-07-31,17:00:00,1.6425,1.6425,1.6425,1.6425,0.0
83,2011-08-07,17:00:00,1.6469,1.6477,1.6468,1.6475,0.0
84,2011-08-14,17:00:00,1.6278,1.6278,1.6278,1.6278,0.0
85,2011-08-21,17:00:00,1.6468,1.6469,1.6466,1.6466,0.0
86,2011-08-28,17:00:00,1.635,1.6351,1.6348,1.635,0.0
87,2011-09-04,17:00:00,1.6154,1.6155,1.6154,1.6155,0.0
88,2011-09-11,17:00:00,1.5836,1.5836,1.5836,1.5836,0.0
89,2011-09-18,17:00:00,1.5732,1.5732,1.5731,1.5731,0.0
90,2011-09-25,17:00:00,1.5481,1.5481,1.5481,1.5481,0.0
91,2011-10-02,17:00:00,1.5549,1.5549,1.5549,1.5549,0.0
92,2011-10-09,17:00:00,1.556,1.556,1.5558,1.5558,0.0
93,2011-10-16,17:00:00,1.5829,1.5829,1.5829,1.5829,0.0
94,2011-10-23,17:00:00,1.5933,1.5933,1.5933,1.5933,0.0
95,2011-10-30,17:00:00,1.6125,1.6125,1.6123,1.6125,0.0
96,2011-11-06,17:00:00,1.6067,1.6067,1.6063,1.6063,0.0
97,2011-11-13,17:00:00,1.6066,1.607,1.6064,1.6064,0.0
98,2011-11-20,17:00:00,1.58,1.5804,1.58,1.5804,0.0
99,2011-11-27,17:00:00,1.5486,1.5486,1.5485,1.5485,0.0
100,2011-12-04,17:00:00,1.56165,1.56165,1.56157,1.56157,0.0
101,2011-12-11,17:00:00,1.56529,1.56532,1.56529,1.56529,0.0
102,2011-12-18,17:00:00,1.55426,1.55426,1.55421,1.55421,0.0
103,2011-12-25,17:00:00,1.55857,1.55873,1.55843,1.55855,0.0
104,2012-01-01,17:00:00,1.55386,1.55407,1.55381,1.55395,0.0
105,2012-01-08,17:00:00,1.54232,1.5424,1.54232,1.5424,0.0
106,2012-01-15,17:00:00,1.52809,1.52874,1.52808,1.52874,0.0
107,2012-01-22,17:00:00,1.55554,1.55653,1.55554,1.55642,0.0
108,2012-01-29,17:00:00,1.57338,1.57338,1.57334,1.57334,0.0
109,2012-02-05,17:00:00,1.58102,1.58141,1.58102,1.58138,0.0
110,2012-02-12,17:00:00,1.57759,1.57759,1.57747,1.57748,0.0
111,2012-02-19,17:00:00,1.5828,1.5833,1.58276,1.5833,0.0
112,2012-02-26,17:00:00,1.5884,1.58841,1.5884,1.5884,0.0
113,2012-03-04,17:00:00,1.58379,1.58402,1.58379,1.58402,0.0
114,2012-03-11,17:00:00,1.56639,1.56645,1.56639,1.56645,0.0
115,2012-03-18,17:00:00,1.58395,1.58395,1.58395,1.58395,0.0
116,2012-03-25,17:00:00,1.58744,1.58746,1.58741,1.58741,0.0
117,2012-04-01,17:00:00,1.60233,1.60233,1.60231,1.60231,0.0
118,2012-04-08,17:00:00,1.58904,1.58904,1.58904,1.58904,0.0
119,2012-04-15,17:00:00,1.58513,1.58513,1.58513,1.58513,0.0
120,2012-04-22,17:00:00,1.61202,1.61202,1.6119,1.61193,0.0
121,2012-04-29,17:00:00,1.62718,1.62762,1.62718,1.62731,0.0
122,2012-05-06,17:00:00,1.61491,1.61515,1.61467,1.61486,0.0
123,2012-05-13,17:00:00,1.60653,1.60671,1.60637,1.60639,0.0
124,2012-05-20,17:00:00,1.57998,1.57998,1.57994,1.57994,0.0
125,2012-05-27,17:00:00,1.56908,1.5691,1.56906,1.56908,0.0
126,2012-06-03,17:00:00,1.53601,1.53602,1.53601,1.53602,0.0
127,2012-06-10,17:00:00,1.55111,1.55111,1.55092,1.55108,0.0
128,2012-06-17,17:00:00,1.57076,1.57114,1.57073,1.57083,0.0
129,2012-06-24,17:00:00,1.55667,1.55675,1.55659,1.55659,0.0
130,2012-07-01,17:00:00,1.5695,1.56957,1.5695,1.56957,0.0
131,2012-07-08,17:00:00,1.54779,1.54779,1.54735,1.54775,0.0
132,2012-07-15,17:00:00,1.5576,1.55767,1.55745,1.55754,0.0
133,2012-07-22,17:00:00,1.56233,1.56247,1.56217,1.56225,0.0
134,2012-07-29,17:00:00,1.57377,1.57377,1.57365,1.57365,0.0
135,2012-08-05,17:00:00,1.56116,1.56151,1.56112,1.56138,0.0
136,2012-08-12,17:00:00,1.5674,1.56741,1.5673,1.5673,0.0
137,2012-08-19,17:00:00,1.57063,1.57064,1.57047,1.57059,0.0
138,2012-08-26,17:00:00,1.58183,1.58189,1.58176,1.58181,0.0
139,2012-09-02,17:00:00,1.58792,1.58806,1.5879,1.58796,0.0
140,2012-09-09,17:00:00,1.60161,1.60164,1.6013,1.60134,0.0
