,Date,Time,Open,High,Low,Close,todrop
0,2010-01-03,17:00:00,92.97,92.98,92.96,92.98,0.0
1,2010-01-04,17:00:00,92.5,92.52,92.49,92.51,0.0
2,2010-01-05,17:00:00,91.7,91.72,91.7,91.71,0.0
3,2010-01-06,17:00:00,92.31,92.31,92.3,92.31,0.0
4,2010-01-07,17:00:00,93.36,93.36,93.29,93.31,0.0
5,2010-01-08,17:00:00,92.66,92.66,92.65,92.65,0.0
6,2010-01-09,17:00:00,92.66,92.66,92.65,92.65,0.0
7,2010-01-10,17:00:00,92.66,92.66,92.65,92.65,0.0
8,2010-01-11,17:00:00,92.07,92.08,92.06,92.08,0.0
9,2010-01-12,17:00:00,90.98,90.99,90.96,90.97,0.0
10,2010-01-13,17:00:00,91.36,91.38,91.36,91.38,0.0
11,2010-01-14,17:00:00,91.2,91.21,91.2,91.21,0.0
12,2010-01-15,17:00:00,90.8,90.83,90.8,90.83,0.0
13,2010-01-16,17:00:00,90.8,90.83,90.8,90.83,0.0
14,2010-01-17,17:00:00,90.78,90.78,90.78,90.78,0.0
15,2010-01-18,17:00:00,90.78,90.78,90.77,90.77,0.0
16,2010-01-19,17:00:00,91.14,91.15,91.14,91.14,0.0
17,2010-01-20,17:00:00,91.23,91.23,91.21,91.22,0.0
18,2010-01-21,17:00:00,90.44,90.44,90.39,90.4,0.0
19,2010-01-22,17:00:00,89.84,89.86,89.81,89.81,0.0
20,2010-01-23,17:00:00,89.84,89.86,89.81,89.81,0.0
21,2010-01-24,17:00:00,90.23,90.23,90.23,90.23,0.0
22,2010-01-25,17:00:00,90.27,90.27,90.27,90.27,0.0
23,2010-01-26,17:00:00,89.66,89.68,89.66,89.67,0.0
24,2010-01-27,17:00:00,89.99,89.99,89.98,89.98,0.0
25,2010-01-28,17:00:00,89.9,89.91,89.9,89.9,0.0
26,2010-01-29,17:00:00,90.25,90.27,90.24,90.26,0.0
27,2010-01-30,17:00:00,90.25,90.27,90.24,90.26,0.0
28,2010-01-31,17:00:00,89.89,89.98,89.88,89.98,0.0
29,2010-02-01,17:00:00,90.6,90.62,90.59,90.61,0.0
30,2010-02-02,17:00:00,90.38,90.38,90.38,90.38,0.0
31,2010-02-03,17:00:00,90.96,90.98,90.96,90.98,0.0
32,2010-02-04,17:00:00,89.02,89.07,89.02,89.06,0.0
33,2010-02-05,17:00:00,89.18,89.27,89.18,89.24,0.0
34,2010-02-06,17:00:00,89.18,89.27,89.18,89.24,0.0
35,2010-02-07,17:00:00,89.43,89.43,89.39,89.39,0.0
36,2010-02-08,17:00:00,89.25,89.26,89.24,89.24,0.0
37,2010-02-09,17:00:00,89.68,89.69,89.67,89.69,0.0
38,2010-02-10,17:00:00,89.94,89.97,89.94,89.97,0.0
39,2010-02-11,17:00:00,89.78,89.78,89.76,89.76,0.0
40,2010-02-12,17:00:00,89.97,89.97,89.96,89.97,0.0
41,2010-02-13,17:00:00,89.97,89.97,89.96,89.97,0.0
42,2010-02-14,17:00:00,90.11,90.11,90.06,90.06,0.0
43,2010-02-15,17:00:00,90.0,90.0,90.0,90.0,0.0
44,2010-02-16,17:00:00,90.13,90.14,90.13,90.14,0.0
45,2010-02-17,17:00:00,91.24,91.25,91.24,91.24,0.0
46,2010-02-18,17:00:00,91.8,91.82,91.77,91.77,0.0
47,2010-02-19,17:00:00,91.52,91.53,91.51,91.52,0.0
48,2010-02-20,17:00:00,91.52,91.53,91.51,91.52,0.0
49,2010-02-21,17:00:00,91.52,91.52,91.48,91.48,0.0
50,2010-02-22,17:00:00,91.13,91.13,91.13,91.13,0.0
51,2010-02-23,17:00:00,90.21,90.22,90.19,90.21,0.0
52,2010-02-24,17:00:00,90.14,90.15,90.14,90.15,0.0
53,2010-02-25,17:00:00,89.06,89.07,89.05,89.06,0.0
54,2010-02-26,17:00:00,88.96,88.96,88.96,88.96,0.0
55,2010-02-27,17:00:00,88.96,88.96,88.96,88.96,0.0
56,2010-02-28,17:00:00,88.86,88.86,88.86,88.86,0.0
57,2010-03-01,17:00:00,89.13,89.13,89.12,89.12,0.0
58,2010-03-02,17:00:00,88.84,88.84,88.84,88.84,0.0
59,2010-03-03,17:00:00,88.45,88.45,88.43,88.43,0.0
60,2010-03-04,17:00:00,89.01,89.03,89.01,89.02,0.0
61,2010-03-05,17:00:00,90.29,90.3,90.27,90.28,0.0
62,2010-03-06,17:00:00,90.29,90.3,90.27,90.28,0.0
63,2010-03-07,17:00:00,90.4,90.4,90.39,90.39,0.0
64,2010-03-08,17:00:00,90.3,90.33,90.3,90.31,0.0
65,2010-03-09,17:00:00,89.95,89.96,89.95,89.95,0.0
66,2010-03-10,17:00:00,90.52,90.52,90.5,90.5,0.0
67,2010-03-11,17:00:00,90.5,90.52,90.5,90.51,0.0
68,2010-03-12,17:00:00,90.57,90.57,90.55,90.55,0.0
69,2010-03-13,17:00:00,90.57,90.57,90.55,90.55,0.0
70,2010-03-14,17:00:00,90.84,90.84,90.84,90.84,0.0
71,2010-03-15,17:00:00,90.52,90.53,90.52,90.53,0.0
72,2010-03-16,17:00:00,90.3,90.32,90.3,90.3,0.0
73,2010-03-17,17:00:00,90.29,90.29,90.29,90.29,0.0
74,2010-03-18,17:00:00,90.4,90.4,90.38,90.38,0.0
75,2010-03-19,17:00:00,90.55,90.55,90.54,90.54,0.0
76,2010-03-20,17:00:00,90.55,90.55,90.54,90.54,0.0
77,2010-03-21,17:00:00,90.49,90.49,90.49,90.49,0.0
78,2010-03-22,17:00:00,90.14,90.14,90.11,90.13,0.0
79,2010-03-23,17:00:00,90.41,90.41,90.39,90.39,0.0
80,2010-03-24,17:00:00,92.3,92.31,92.29,92.3,0.0
81,2010-03-25,17:00:00,92.72,92.72,92.7,92.72,0.0
82,2010-03-26,17:00:00,92.53,92.54,92.49,92.49,0.0
83,2010-03-27,17:00:00,92.53,92.54,92.49,92.49,0.0
84,2010-03-28,17:00:00,92.53,92.54,92.49,92.49,0.0
85,2010-03-29,17:00:00,92.46,92.46,92.46,92.46,0.0
86,2010-03-30,17:00:00,92.77,92.78,92.76,92.78,0.0
