,Date,Time,Open,High,Low,Close,todrop
0,2010-01-03,17:00:00,92.97,92.98,92.96,92.98,0.0
1,2010-01-10,17:00:00,92.66,92.66,92.65,92.65,0.0
2,2010-01-17,17:00:00,90.78,90.78,90.78,90.78,0.0
3,2010-01-24,17:00:00,90.23,90.23,90.23,90.23,0.0
4,2010-01-31,17:00:00,89.89,89.98,89.88,89.98,0.0
5,2010-02-07,17:00:00,89.43,89.43,89.39,89.39,0.0
6,2010-02-14,17:00:00,90.11,90.11,90.06,90.06,0.0
7,2010-02-21,17:00:00,91.52,91.52,91.48,91.48,0.0
8,2010-02-28,17:00:00,88.86,88.86,88.86,88.86,0.0
9,2010-03-07,17:00:00,90.4,90.4,90.39,90.39,0.0
10,2010-03-14,17:00:00,90.84,90.84,90.84,90.84,0.0
11,2010-03-21,17:00:00,90.49,90.49,90.49,90.49,0.0
12,2010-03-28,17:00:00,92.53,92.54,92.49,92.49,0.0
13,2010-04-04,17:00:00,94.68,94.68,94.68,94.68,0.0
14,2010-04-11,17:00:00,93.14,93.18,93.14,93.18,0.0
15,2010-04-18,17:00:00,91.86,91.87,91.85,91.86,0.0
16,2010-04-25,17:00:00,94.0,94.0,94.0,94.0,0.0
17,2010-05-02,17:00:00,93.9,93.9,93.88,93.88,0.0
18,2010-05-09,17:00:00,92.44,92.44,92.44,92.44,0.0
19,2010-05-16,17:00:00,92.25,92.25,92.25,92.25,0.0
20,2010-05-23,17:00:00,90.3,90.3,90.3,90.3,0.0
21,2010-05-30,17:00:00,91.05,91.07,91.02,91.05,0.0
22,2010-06-06,17:00:00,91.86,91.9,91.85,91.9,0.0
23,2010-06-13,17:00:00,91.82,91.83,91.82,91.83,0.0
24,2010-06-20,17:00:00,90.71,90.71,90.68,90.7,0.0
25,2010-06-27,17:00:00,89.27,89.27,89.27,89.27,0.0
26,2010-07-04,17:00:00,87.71,87.71,87.7,87.7,0.0
27,2010-07-11,17:00:00,88.72,88.73,88.72,88.72,0.0
28,2010-07-18,17:00:00,86.57,86.58,86.55,86.57,0.0
29,2010-07-25,17:00:00,87.48,87.48,87.48,87.48,0.0
30,2010-08-01,17:00:00,86.34,86.34,86.34,86.34,0.0
31,2010-08-08,17:00:00,85.4,85.4,85.4,85.4,0.0
32,2010-08-15,17:00:00,86.16,86.16,86.16,86.16,0.0
33,2010-08-22,17:00:00,85.56,85.56,85.56,85.56,0.0
34,2010-08-29,17:00:00,85.31,85.31,85.31,85.31,0.0
35,2010-09-05,17:00:00,84.14,84.15,84.13,84.13,0.0
36,2010-09-12,17:00:00,84.14,84.14,84.14,84.14,0.0
37,2010-09-19,17:00:00,85.74,85.74,85.74,85.74,0.0
38,2010-09-26,17:00:00,84.23,84.23,84.23,84.23,0.0
39,2010-10-03,17:00:00,83.24,83.24,83.24,83.24,0.0
40,2010-10-10,17:00:00,81.91,81.92,81.89,81.91,0.0
41,2010-10-17,17:00:00,81.47,81.48,81.44,81.44,0.0
42,2010-10-24,17:00:00,81.27,81.27,81.27,81.27,0.0
43,2010-10-31,17:00:00,80.29,80.3,80.29,80.3,0.0
44,2010-11-07,17:00:00,81.23,81.23,81.2,81.2,0.0
45,2010-11-14,17:00:00,82.46,82.47,82.46,82.47,0.0
46,2010-11-21,17:00:00,83.51,83.51,83.5,83.5,0.0
47,2010-11-28,17:00:00,84.05,84.05,84.01,84.03,0.0
48,2010-12-05,17:00:00,82.65,82.66,82.65,82.66,0.0
49,2010-12-12,17:00:00,83.98,84.01,83.98,84.0,0.0
50,2010-12-19,17:00:00,83.94,83.95,83.94,83.94,0.0
51,2010-12-26,17:00:00,82.77,82.88,82.77,82.88,0.0
52,2011-01-02,17:00:00,81.22,81.22,81.21,81.21,0.0
53,2011-01-09,17:00:00,83.22,83.23,83.22,83.22,0.0
54,2011-01-16,17:00:00,82.79,82.82,82.79,82.81,0.0
55,2011-01-23,17:00:00,82.54,82.55,82.53,82.55,0.0
56,2011-01-30,17:00:00,82.0,82.01,81.98,82.01,0.0
57,2011-02-06,17:00:00,82.17,82.17,82.16,82.16,0.0
58,2011-02-13,17:00:00,83.48,83.49,83.47,83.47,0.0
59,2011-02-20,17:00:00,83.08,83.1,83.08,83.1,0.0
60,2011-02-27,17:00:00,81.68,81.74,81.68,81.74,0.0
